,MOPS,Tricine,H3BO3,Glucose,K2SO4,K2HPO4,FeSO4,NH4Cl,MgCl2,NaCl,(NH4)6Mo7O24,CoCl2,CuSO4,MnSO4,ZnSO4,Kan,Water,Culture
G2,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
H2,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
A3,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
B3,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
C3,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
D3,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
E3,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
F3,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
G3,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
H3,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
A4,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
B4,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
C4,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
D4,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
E4,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
F4,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
G4,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
H4,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
A5,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
B5,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
C5,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
D5,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
E5,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
F5,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
G5,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
H5,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
A6,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
B6,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
C6,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
D6,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
E6,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
F6,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
G6,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
H6,10.000000000000028,5.0,50.0,5.0,49.99999999999999,5.0,49.99999999999999,7.499999606092458,5.555555555555555,16.666666666666668,50.0,49.99999999999999,50.0,50.0,50.0,5.0,35.27777817168533,5.0
