Well,MOPS[mM],Tricine[mM],H3BO3[mM],Glucose[mM],K2SO4[mM],K2HPO4[mM],FeSO4[mM],NH4Cl[mM],MgCl2[mM],NaCl[mM],(NH4)6Mo7O24[mM],CoCl2[mM],CuSO4[mM],MnSO4[mM],ZnSO4[mM],CaCl2[mM]
F3,40.0,4.0,0.04219577968264,86.84456820642176,0.1520448136881234,11.989767390407,0.0389283160979048,23.71463425630381,2.20286042531596,1955.551814965588,0.0005350210308005,7.394905755157011e-05,0.0052211029478558,0.0086967645169707,0.0011670325537155,0.0451285229395618
A4,40.0,4.0,0.0338317294176435,59.015584301068166,0.8813284822228004,4.84698131667521,0.0281916840817573,28.94157410161604,0.4744035304186097,2299.892200122874,7.13237028125606e-05,0.0057279197376001,0.0020464068675028,0.0116811736327622,0.0015049642874183,0.0416588344615332
B4,40.0,4.0,0.0338317294176435,59.015584301068166,0.8813284822228004,4.84698131667521,0.0281916840817573,28.94157410161604,0.4744035304186097,2299.892200122874,7.13237028125606e-05,0.0057279197376001,0.0020464068675028,0.0116811736327622,0.0015049642874183,0.0416588344615332
C4,40.0,4.0,0.0338317294176435,59.015584301068166,0.8813284822228004,4.84698131667521,0.0281916840817573,28.94157410161604,0.4744035304186097,2299.892200122874,7.13237028125606e-05,0.0057279197376001,0.0020464068675028,0.0116811736327622,0.0015049642874183,0.0416588344615332
D4,40.0,4.0,0.0124237190456256,181.8763549441493,0.2414309137387016,1.6566424014879424,0.059311802506688,19.73484857982674,0.3568757669384156,663.0595554007729,1.1413264118986138e-05,0.001437268959838,0.0036792026486488,0.0035642076167597,0.001220538537177,0.0270681920277152
E4,40.0,4.0,0.0124237190456256,181.8763549441493,0.2414309137387016,1.6566424014879424,0.059311802506688,19.73484857982674,0.3568757669384156,663.0595554007729,1.1413264118986138e-05,0.001437268959838,0.0036792026486488,0.0035642076167597,0.001220538537177,0.0270681920277152
F4,40.0,4.0,0.0124237190456256,181.8763549441493,0.2414309137387016,1.6566424014879424,0.059311802506688,19.73484857982674,0.3568757669384156,663.0595554007729,1.1413264118986138e-05,0.001437268959838,0.0036792026486488,0.0035642076167597,0.001220538537177,0.0270681920277152
A5,40.0,4.0,0.0489445429430103,20.311279240391023,0.5300026612537103,9.252165526255723,0.0451073639881602,12.286710189665406,2.4489713569963696,1744.298800264935,0.0004118837751216,0.0021976979249206,0.0028081174675598,0.012727738040752,0.0002782796905961,0.012129558857139
B5,40.0,4.0,0.0489445429430103,20.311279240391023,0.5300026612537103,9.252165526255723,0.0451073639881602,12.286710189665406,2.4489713569963696,1744.298800264935,0.0004118837751216,0.0021976979249206,0.0028081174675598,0.012727738040752,0.0002782796905961,0.012129558857139
C5,40.0,4.0,0.0489445429430103,20.311279240391023,0.5300026612537103,9.252165526255723,0.0451073639881602,12.286710189665406,2.4489713569963696,1744.298800264935,0.0004118837751216,0.0021976979249206,0.0028081174675598,0.012727738040752,0.0002782796905961,0.012129558857139
D5,40.0,4.0,0.0216196853465361,142.3879060006714,0.0622759793814177,12.757316833191693,0.0551000200564668,43.16705107053341,1.6952280859438076,1203.273772076957,0.0003804045935076,0.0049678650442517,0.0007297150595661,0.0019824585644888,0.0014145727278288,0.0067416952505368
E5,40.0,4.0,0.0216196853465361,142.3879060006714,0.0622759793814177,12.757316833191693,0.0551000200564668,43.16705107053341,1.6952280859438076,1203.273772076957,0.0003804045935076,0.0049678650442517,0.0007297150595661,0.0019824585644888,0.0014145727278288,0.0067416952505368
F5,40.0,4.0,0.0216196853465361,142.3879060006714,0.0622759793814177,12.757316833191693,0.0551000200564668,43.16705107053341,1.6952280859438076,1203.273772076957,0.0003804045935076,0.0049678650442517,0.0007297150595661,0.0019824585644888,0.0014145727278288,0.0067416952505368
A6,40.0,4.0,0.0579339972710553,110.3809967307516,0.2865113427531472,6.340137452226814,0.0933843304220342,14.362710572194008,0.0684844844909393,163.1270105780335,0.0004966310811484,0.0050570483229001,0.0040566840592097,0.0154126785722736,0.0009383079107871,0.0222066396021692
B6,40.0,4.0,0.0579339972710553,110.3809967307516,0.2865113427531472,6.340137452226814,0.0933843304220342,14.362710572194008,0.0684844844909393,163.1270105780335,0.0004966310811484,0.0050570483229001,0.0040566840592097,0.0154126785722736,0.0009383079107871,0.0222066396021692
C6,40.0,4.0,0.0579339972710553,110.3809967307516,0.2865113427531472,6.340137452226814,0.0933843304220342,14.362710572194008,0.0684844844909393,163.1270105780335,0.0004966310811484,0.0050570483229001,0.0040566840592097,0.0154126785722736,0.0009383079107871,0.0222066396021692
D6,40.0,4.0,0.0705344250634201,132.7969547881307,0.6741644077877048,1.0712105853766234,0.0051126828514963,39.16226923904948,2.005142882131417,2173.2487161437416,0.0003046964902695,0.0008628814734955,0.0003521087760019,0.0057919101583348,0.0004324747041899,0.0314883783822533
E6,40.0,4.0,0.0705344250634201,132.7969547881307,0.6741644077877048,1.0712105853766234,0.0051126828514963,39.16226923904948,2.005142882131417,2173.2487161437416,0.0003046964902695,0.0008628814734955,0.0003521087760019,0.0057919101583348,0.0004324747041899,0.0314883783822533
F6,40.0,4.0,0.0705344250634201,132.7969547881307,0.6741644077877048,1.0712105853766234,0.0051126828514963,39.16226923904948,2.005142882131417,2173.2487161437416,0.0003046964902695,0.0008628814734955,0.0003521087760019,0.0057919101583348,0.0004324747041899,0.0314883783822533
A7,40.0,4.0,0.0471112941074573,197.4229952082967,0.1882520643002787,6.00878698411687,0.0472232597271521,17.288400361721607,2.455039268709557,1583.290895694383,0.0004458349961929,0.001541702863061,0.003910023738891,0.0048540045861736,0.0010001121532333,0.0133645873143603
B7,40.0,4.0,0.0471112941074573,197.4229952082967,0.1882520643002787,6.00878698411687,0.0472232597271521,17.288400361721607,2.455039268709557,1583.290895694383,0.0004458349961929,0.001541702863061,0.003910023738891,0.0048540045861736,0.0010001121532333,0.0133645873143603
C7,40.0,4.0,0.0471112941074573,197.4229952082967,0.1882520643002787,6.00878698411687,0.0472232597271521,17.288400361721607,2.455039268709557,1583.290895694383,0.0004458349961929,0.001541702863061,0.003910023738891,0.0048540045861736,0.0010001121532333,0.0133645873143603
D7,40.0,4.0,0.0656915346030996,191.6316222103353,0.0463338693660441,4.7702178892421845,0.0504391838194226,28.63190296696655,1.901838875879242,2296.881765413252,0.000292498259797,0.0047660142788134,0.0024142668074989,0.0040168699882255,0.0008834386033432,0.0191561469795106
E7,40.0,4.0,0.0656915346030996,191.6316222103353,0.0463338693660441,4.7702178892421845,0.0504391838194226,28.63190296696655,1.901838875879242,2296.881765413252,0.000292498259797,0.0047660142788134,0.0024142668074989,0.0040168699882255,0.0008834386033432,0.0191561469795106
F7,40.0,4.0,0.0656915346030996,191.6316222103353,0.0463338693660441,4.7702178892421845,0.0504391838194226,28.63190296696655,1.901838875879242,2296.881765413252,0.000292498259797,0.0047660142788134,0.0024142668074989,0.0040168699882255,0.0008834386033432,0.0191561469795106
A8,40.0,4.0,0.0230885138854949,191.92121730799505,0.1297776828029615,10.08254630556447,0.04832927526086,25.80227333336464,1.886212035789688,1672.4607159839472,0.0004848645735382,0.0023392784462927,0.0014456420307499,0.0148875858609411,0.00148690365389,0.0056956521962107
B8,40.0,4.0,0.0230885138854949,191.92121730799505,0.1297776828029615,10.08254630556447,0.04832927526086,25.80227333336464,1.886212035789688,1672.4607159839472,0.0004848645735382,0.0023392784462927,0.0014456420307499,0.0148875858609411,0.00148690365389,0.0056956521962107
C8,40.0,4.0,0.0230885138854949,191.92121730799505,0.1297776828029615,10.08254630556447,0.04832927526086,25.80227333336464,1.886212035789688,1672.4607159839472,0.0004848645735382,0.0023392784462927,0.0014456420307499,0.0148875858609411,0.00148690365389,0.0056956521962107
D8,40.0,4.0,0.0036861297546378,20.69998217480709,0.2796308117675039,1.3352298384587509,0.0099013972213165,9.359875238931956,0.4714809831174709,52.92837959690422,2.9105135048780264e-05,0.0002851015468898,9.52890541876095e-05,0.0007462933306933,9.379734050790514e-05,0.0
E8,40.0,4.0,0.0036861297546378,20.69998217480709,0.2796308117675039,1.3352298384587509,0.0099013972213165,9.359875238931956,0.4714809831174709,52.92837959690422,2.9105135048780264e-05,0.0002851015468898,9.52890541876095e-05,0.0007462933306933,9.379734050790514e-05,0.0
F8,40.0,4.0,0.0036861297546378,20.69998217480709,0.2796308117675039,1.3352298384587509,0.0099013972213165,9.359875238931956,0.4714809831174709,52.92837959690422,2.9105135048780264e-05,0.0002851015468898,9.52890541876095e-05,0.0007462933306933,9.379734050790514e-05,0.0
